Wavelength,Intensity
690.36168,4.23E+03
690.40078,4.29E+03
690.43988,4.39E+03
690.47898,4.49E+03
690.51808,4.62E+03
690.55718,4.70E+03
690.59629,4.78E+03
690.63539,4.90E+03
690.67449,5.00E+03
690.71359,5.13E+03
690.75269,5.27E+03
690.79179,5.33E+03
690.83089,5.40E+03
690.86999,5.53E+03
690.90909,5.67E+03
690.94819,5.83E+03
690.98729,5.99E+03
691.02639,6.05E+03
691.06549,6.12E+03
691.10459,6.25E+03
691.14370,6.41E+03
691.18280,6.59E+03
691.22190,6.66E+03
691.26100,6.74E+03
691.30010,6.88E+03
691.33920,7.06E+03
691.37830,7.24E+03
691.41740,7.38E+03
691.45650,7.44E+03
691.49560,7.51E+03
691.53470,7.71E+03
691.57380,7.92E+03
691.61290,8.11E+03
691.65200,8.19E+03
691.69110,8.27E+03
691.73021,8.45E+03
691.76931,8.64E+03
691.80841,8.83E+03
691.84751,9.00E+03
691.88661,9.10E+03
691.92571,9.20E+03
691.96481,9.45E+03
692.00391,9.68E+03
692.04301,9.86E+03
692.08211,9.94E+03
692.12121,1.00E+04
692.16031,1.02E+04
692.19941,1.05E+04
692.23851,1.07E+04
692.27761,1.09E+04
692.31672,1.10E+04
692.35582,1.11E+04
692.39492,1.14E+04
692.43402,1.16E+04
692.47312,1.18E+04
692.51222,1.20E+04
692.55132,1.22E+04
692.59042,1.23E+04
692.62952,1.26E+04
692.66862,1.28E+04
692.70772,1.30E+04
692.74682,1.32E+04
692.78592,1.33E+04
692.82502,1.35E+04
692.86413,1.37E+04
692.90323,1.40E+04
692.94233,1.43E+04
692.98143,1.45E+04
693.02053,1.46E+04
693.05963,1.49E+04
693.09873,1.51E+04
693.13783,1.53E+04
693.17693,1.55E+04
693.21603,1.56E+04
693.25513,1.59E+04
693.29423,1.61E+04
693.33333,1.64E+04
693.37243,1.68E+04
693.41153,1.70E+04
693.45064,1.71E+04
693.48974,1.73E+04
693.52884,1.76E+04
693.56794,1.79E+04
693.60704,1.82E+04
693.64614,1.83E+04
693.68524,1.84E+04
693.72434,1.88E+04
693.76344,1.91E+04
693.80254,1.95E+04
693.84164,1.96E+04
693.88074,1.97E+04
693.91984,1.99E+04
693.95894,2.03E+04
693.99804,2.06E+04
694.03715,2.09E+04
694.07625,2.11E+04
694.11535,2.12E+04
694.15445,2.15E+04
694.19355,2.19E+04
694.23265,2.21E+04
694.27175,2.24E+04
694.31085,2.25E+04
694.34995,2.27E+04
694.38905,2.31E+04
694.42815,2.35E+04
694.46725,2.37E+04
694.50635,2.39E+04
694.54545,2.40E+04
694.58456,2.43E+04
694.62366,2.46E+04
694.66276,2.49E+04
694.70186,2.52E+04
694.74096,2.54E+04
694.78006,2.56E+04
694.81916,2.60E+04
694.85826,2.63E+04
694.89736,2.65E+04
694.93646,2.66E+04
694.97556,2.67E+04
695.01466,2.71E+04
695.05376,2.74E+04
695.09286,2.77E+04
695.13196,2.80E+04
695.17107,2.82E+04
695.21017,2.84E+04
695.24927,2.87E+04
695.28837,2.89E+04
695.32747,2.91E+04
695.36657,2.94E+04
695.40567,2.96E+04
695.44477,2.98E+04
695.48387,3.01E+04
695.52297,3.03E+04
695.56207,3.06E+04
695.60117,3.08E+04
695.64027,3.09E+04
695.67937,3.11E+04
695.71848,3.12E+04
695.75758,3.15E+04
695.79668,3.19E+04
695.83578,3.21E+04
695.87488,3.22E+04
695.91398,3.24E+04
695.95308,3.26E+04
695.99218,3.28E+04
696.03128,3.29E+04
696.07038,3.30E+04
696.10948,3.31E+04
696.14858,3.33E+04
696.18768,3.37E+04
696.22678,3.40E+04
696.26588,3.40E+04
696.30499,3.41E+04
696.34409,3.41E+04
696.38319,3.43E+04
696.42229,3.45E+04
696.46139,3.46E+04
696.50049,3.47E+04
696.53959,3.48E+04
696.57869,3.50E+04
696.61779,3.52E+04
