Wavelength	Intensity
8.733431085044E+2	1.360000000000E+2
8.734017595308E+2	1.370000000000E+2
8.734604105572E+2	9.000000000000E+1
8.735190615836E+2	1.400000000000E+2
8.735777126100E+2	1.260000000000E+2
8.736363636364E+2	1.190000000000E+2
8.736950146628E+2	1.400000000000E+2
8.737536656891E+2	1.250000000000E+2
8.738123167155E+2	1.070000000000E+2
8.738709677419E+2	1.500000000000E+2
8.739296187683E+2	1.540000000000E+2
8.739882697947E+2	9.700000000000E+1
8.740469208211E+2	1.340000000000E+2
8.741055718475E+2	1.360000000000E+2
8.741642228739E+2	1.150000000000E+2
8.742228739003E+2	1.290000000000E+2
8.742815249267E+2	1.050000000000E+2
8.743401759531E+2	1.500000000000E+2
8.743988269795E+2	1.530000000000E+2
8.744574780059E+2	1.090000000000E+2
8.745161290323E+2	1.410000000000E+2
8.745747800587E+2	1.440000000000E+2
8.746334310850E+2	1.460000000000E+2
8.746920821114E+2	1.300000000000E+2
8.747507331378E+2	1.460000000000E+2
8.748093841642E+2	1.020000000000E+2
8.748680351906E+2	1.350000000000E+2
8.749266862170E+2	1.360000000000E+2
8.749853372434E+2	1.320000000000E+2
8.750439882698E+2	1.350000000000E+2
8.751026392962E+2	1.540000000000E+2
8.751612903226E+2	1.330000000000E+2
8.752199413490E+2	1.480000000000E+2
8.752785923754E+2	1.230000000000E+2
8.753372434018E+2	1.130000000000E+2
8.753958944282E+2	1.080000000000E+2
8.754545454545E+2	1.330000000000E+2
8.755131964809E+2	1.240000000000E+2
8.755718475073E+2	1.500000000000E+2
8.756304985337E+2	1.440000000000E+2
8.756891495601E+2	1.160000000000E+2
8.757478005865E+2	1.620000000000E+2
8.758064516129E+2	1.390000000000E+2
8.758651026393E+2	1.340000000000E+2
8.759237536657E+2	1.360000000000E+2
8.759824046921E+2	1.520000000000E+2
8.760410557185E+2	1.030000000000E+2
8.760997067449E+2	1.330000000000E+2
8.761583577713E+2	1.340000000000E+2
8.762170087977E+2	1.420000000000E+2
8.762756598240E+2	1.470000000000E+2
8.763343108504E+2	1.360000000000E+2
8.763929618768E+2	1.070000000000E+2
8.764516129032E+2	1.310000000000E+2
8.765102639296E+2	1.220000000000E+2
8.765689149560E+2	9.600000000000E+1
8.766275659824E+2	1.320000000000E+2
